Time,MMG1,MMG2,MMG3,MMG4,EMG,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,849,784,987,727,959,17136,-3444,-572,-1776,-59,865
4,857,786,976,733,927,17196,-3304,-760,-1788,-212,912
7,840,774,966,721,896,17096,-3504,-328,-1626,94,868
10,841,758,970,726,877,17340,-3504,-432,-1491,289,909
13,845,768,975,734,867,17000,-3484,-392,-1424,190,843
16,838,781,965,738,848,16880,-3416,-636,-1267,-201,868
19,853,787,966,740,835,17032,-3324,-484,-1270,-445,818
22,833,783,959,748,821,17548,-2972,-456,-1507,-47,610
25,845,780,960,750,815,17480,-3292,-604,-1352,50,618
28,843,790,953,769,793,17276,-3140,-532,-1453,-41,559
31,843,803,956,740,785,17192,-3188,-164,-1407,-111,505
34,848,781,948,742,774,16972,-3220,-272,-1270,-370,462
37,843,800,951,739,768,17384,-2956,-512,-1516,-384,332
40,848,784,951,740,756,17080,-3056,-380,-1451,-523,288
43,851,779,951,737,749,17496,-2984,-320,-1586,-322,217
46,848,767,958,727,737,17364,-3072,-468,-1566,-277,147
49,842,763,957,719,726,17424,-3076,-540,-1750,-93,58
52,849,762,966,708,719,17376,-3100,-692,-1825,-5,44
55,854,760,960,704,719,17140,-3216,-516,-1879,35,-59
58,855,756,963,705,707,17016,-3424,-516,-1852,138,-36
61,857,750,976,705,703,17468,-3228,-632,-2051,291,-131
64,854,766,970,711,692,17136,-3596,-756,-1958,272,-99
67,847,767,972,720,688,16704,-3640,-600,-1943,202,-96
70,852,769,971,715,684,16656,-3680,-592,-1943,63,-111
73,849,779,969,720,675,17076,-3884,-712,-1895,289,-58
76,847,784,962,721,676,17296,-3740,-812,-1869,513,-65
79,849,794,963,726,663,16464,-3888,-448,-1802,411,17
82,847,791,967,735,656,16876,-3780,-608,-1936,509,-53
85,848,797,970,731,656,16768,-3752,-560,-1891,534,-43
88,850,786,965,738,651,16648,-3996,-460,-1749,491,62
91,853,784,971,740,642,16588,-4056,-468,-1745,446,60
94,849,783,967,746,639,16692,-3824,-384,-1699,511,78
97,851,779,967,749,631,16832,-3672,-460,-1723,706,111
100,849,786,969,752,630,16824,-3720,-624,-1659,747,164
