timestamp_ms,mmg1,mmg2,mmg3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
310142,1959,1161,779,16700,-2588,-228,-848,-1731,-1202
310152,1957,1160,797,16244,-2800,492,-848,-2433,-1680
310162,1959,1160,779,16804,-3024,128,-880,-2820,-1947
310172,1959,1145,777,16376,-3460,-1624,-896,-3623,-2496
310182,1962,1174,777,17152,-3328,-708,-864,-6015,-5169
310192,1959,1191,773,16944,-2240,168,-864,-7036,-5046
310202,1959,1127,773,16540,-1752,-544,-864,-6573,-3560
310212,1959,1077,767,15964,-1236,-600,-880,-7064,-4522
310222,1959,1071,775,17760,1588,-144,-864,-6006,-4913
310232,1959,1076,761,17124,-856,220,-896,-1287,-5587
310242,1957,1070,780,18200,-5300,1400,-880,-2454,-3535
310252,1958,1187,765,17528,-388,616,-880,-1872,-3054
310262,1957,1164,780,16800,-3788,-1424,-896,-844,-2242
310272,1959,1182,773,17500,-3568,-60,-864,-1402,-1310
310282,1959,1140,774,16792,-3184,-1256,-896,-2682,-417
310292,1958,1156,775,16596,-2732,-1260,-896,-2684,-557
310302,1959,1059,780,16324,-3180,-300,-864,-1712,-1286
310312,1951,1195,777,16564,-2544,-112,-896,-741,-1844
310322,1960,1101,775,16296,-2020,-480,-896,-734,-2132
310332,1957,1141,776,17264,-804,-1376,-880,-1200,-1730
310342,1955,1143,777,16952,-960,-1296,-880,-1048,-1179
310352,1941,1005,757,16816,-1472,-1212,-864,-1308,-597
310362,1955,1222,774,17056,-2104,-1452,-880,-2610,-134
310372,1956,1096,777,16584,-2300,-1640,-880,-3264,-49
310382,1959,1093,776,16296,-2460,-828,-864,-2423,-697
310392,1960,1107,767,16592,-2456,-788,-864,-1101,-1168
310402,1958,1099,775,16784,-2296,-1256,-896,-495,-1223
310412,1959,1099,775,16756,-2140,-1592,-864,-517,-946
310422,1957,1110,776,16624,-2064,-1996,-880,-941,-600
310432,1959,1129,776,16728,-1908,-1588,-864,-1105,-338
310442,1959,1125,776,16628,-1860,-1428,-880,-919,-304
310452,1955,1126,775,16580,-2024,-1704,-880,-805,-394
310462,1959,1129,773,16616,-2280,-1768,-880,-842,-544
310472,1957,1115,775,16652,-2172,-1324,-864,-722,-644
310482,1959,1098,776,16712,-2224,-1040,-864,-206,-729
310492,1957,1109,774,16628,-2192,-1432,-832,271,-660
310502,1958,1111,775,16416,-2032,-1496,-896,700,-732
310512,1959,1109,775,16460,-2008,-1812,-896,714,-787
310522,1950,1093,775,16468,-1832,-2156,-848,425,-893
310532,1957,1095,775,16596,-1808,-1924,-880,123,-988
310542,1961,1086,775,16672,-1436,-1776,-912,-33,-1098
310552,1958,1093,775,16656,-1292,-1996,-864,-275,-1068
310562,1941,1091,773,16772,-928,-1860,-880,-354,-862
