timestamp_ms,mmg1,mmg2,mmg3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
759180,1762,1011,952,16904,-1240,-2008,-1456,3513,3875
759190,1762,984,953,16208,-864,624,-1456,1662,3438
759200,1756,1170,954,15784,-720,452,-1456,1732,942
759210,1749,903,949,15560,-684,-988,-1456,115,-1602
759220,1763,911,949,16420,-948,-1160,-1456,-1872,-3270
759230,1759,935,952,16776,-1072,-968,-1440,-3198,-4328
759240,1763,940,955,16328,-1080,-476,-1488,-3796,-5185
759250,1759,957,951,16144,-156,276,-1472,-4111,-5902
759260,1759,955,953,16500,-44,312,-1456,-5166,-7465
759270,1762,936,952,17248,-1056,108,-1456,-6664,-7647
759280,1755,905,951,15784,-2044,-732,-1440,-6291,-5749
759290,1751,1004,955,18384,-1784,564,-1488,-5131,-7985
759300,1762,1011,951,17716,-1652,-528,-1440,-4818,-6142
759310,1759,990,951,15500,-2004,-1012,-1488,-2859,-6093
759320,1757,1045,955,18712,-1188,-1268,-1456,-790,-3253
759330,1763,1052,955,17388,-2176,-2208,-1440,-852,-19
759340,1762,1095,950,16880,-1380,-1380,-1456,-32,1469
759350,1763,1033,952,16288,-2312,-856,-1472,-720,701
759360,1763,951,951,16300,-1908,-1228,-1472,-867,-333
759370,1756,1453,955,16292,-1984,-920,-1440,-184,-1136
759380,1761,879,953,16476,-2024,-1504,-1440,446,-1971
759390,1759,954,951,16848,-2048,-684,-1472,2042,-2726
759400,1757,998,947,17356,64,-4340,-1472,3652,-2067
759410,1762,988,949,16664,-1016,-2164,-1472,2528,-1586
759420,1762,1042,949,16888,-1100,-1684,-1456,1857,-1739
759430,1757,1075,953,17072,-1452,-1860,-1440,1625,-978
759440,1759,1035,954,17108,-1748,-1040,-1456,389,96
759450,1762,1019,952,16556,-1912,-1764,-1472,-873,632
759460,1759,997,951,16420,-1696,-1176,-1440,-1062,428
759470,1762,1018,952,16304,-1708,-1460,-1424,-447,-180
759480,1758,1021,950,16312,-1688,-1444,-1456,-170,-697
759490,1761,1053,951,16612,-1492,-1368,-1456,-463,-737
759500,1763,1051,947,16672,-1492,-1580,-1456,-1062,-618
759510,1755,1035,949,16756,-1136,-1220,-1472,-1249,-466
759520,1763,1001,949,16580,-704,-972,-1456,-502,-645
759530,1761,998,942,16520,-468,-1732,-1488,-112,-1000
759540,1759,957,949,16692,-688,-2184,-1488,-887,-1240
759550,1759,1014,947,16692,-788,-1636,-1456,-2023,-1215
759560,1781,1018,950,16700,-1124,-1692,-1440,-2749,-1035
759570,1758,969,950,16636,-1744,-1804,-1472,-2896,-1043
759580,1762,972,948,16468,-2708,-2068,-1440,-2764,-1256
759590,1759,1005,947,16564,-3188,-2292,-1456,-2636,-1337
759600,1757,983,943,16668,-3080,-1924,-1424,-2094,-1408
759610,1759,1001,948,16612,-3020,-1680,-1440,-883,-1226
759620,1758,941,947,16804,-3060,-2340,-1472,-100,-1042
759630,1762,939,948,16680,-2952,-2572,-1472,-197,-936
759640,1759,953,947,16516,-2832,-2304,-1472,-273,-529
759650,1753,973,949,16428,-2728,-2320,-1456,33,-501
759660,1759,968,947,16400,-2656,-2340,-1472,120,-564
759670,1758,986,947,16404,-3040,-2692,-1472,-315,-712
759680,1761,1022,948,16548,-3472,-2456,-1440,-907,-799
759690,1735,1015,950,16512,-4040,-1928,-1440,-1100,-734
759700,1759,1036,964,16364,-4644,-1920,-1472,-906,-655
759710,1762,1075,951,15952,-4744,-1900,-1456,-335,-519
759720,1763,1078,949,16152,-4584,-1332,-1424,613,-635
759730,1763,862,947,17300,-4132,-2236,-1472,1506,-1863
759740,1759,767,951,17236,-3368,-4184,-1440,1548,-2779
759750,1761,857,938,16716,-2308,-4116,-1456,1839,-1558
759760,1757,984,945,16932,-1900,-3888,-1472,2055,305
759770,1785,1047,951,16920,-1568,-3452,-1456,1385,1438
759780,1759,1013,955,16552,-2060,-2860,-1424,-482,1874
759790,1762,989,950,16292,-2696,-1960,-1472,-2356,1469
759800,1763,1013,950,15816,-3312,-1204,-1424,-2619,274
759810,1759,936,939,16040,-3500,-1284,-1456,-1101,-950
759820,1757,955,938,16440,-3368,-1824,-1440,739,-1732
759830,1755,987,941,16952,-2488,-2200,-1456,2100,-1441
759840,1757,987,943,17140,-1600,-3156,-1472,2107,-423
759850,1759,967,947,16748,-1184,-3640,-1440,1020,421
759860,1758,956,951,16584,-952,-3696,-1440,-551,634
759870,1763,1016,960,16472,-984,-3536,-1440,-1985,376
759880,1759,1018,973,16536,-1736,-2688,-1456,-2961,172
759890,1758,989,947,16644,-2300,-1652,-1440,-2845,25
759900,1761,989,947,16612,-2788,-1104,-1472,-1457,-133
759910,1757,853,939,16580,-2596,-1452,-1424,243,-92
759920,1763,958,947,16636,-2208,-1820,-1472,1542,-495
759930,1748,968,941,16632,-1792,-1820,-1472,1977,-524
759940,1757,973,941,16452,-1312,-2588,-1472,1552,-207
759950,1758,958,940,16268,-532,-2888,-1472,858,-104
759960,1757,947,946,16320,-544,-3044,-1440,97,-363
759970,1762,968,943,16232,-820,-3040,-1456,-998,-310
759980,1755,953,940,16536,-932,-2736,-1456,-1779,-244
759990,1759,927,943,16560,-804,-2852,-1440,-1836,-657
760000,1761,871,947,16732,-584,-3012,-1440,-1572,-784
760010,1757,953,948,17020,-612,-2972,-1456,-1381,-379
760020,1759,1019,950,17080,-420,-2824,-1440,-1271,-42
760030,1759,1039,943,16856,-128,-2336,-1488,-936,303
760040,1763,1037,942,16644,28,-2220,-1424,-656,515
760050,1757,1001,940,16504,272,-2108,-1456,-538,715
760060,1757,969,940,16252,512,-2260,-1424,-634,276
760070,1757,980,941,16268,216,-2488,-1456,-966,-168
760080,1757,995,938,16480,488,-2328,-1440,-1194,-372
760090,1759,989,957,16676,652,-2192,-1424,-1030,-452
760100,1757,984,939,16880,652,-2628,-1440,-709,-453
760110,1758,1023,937,16940,648,-3000,-1456,-513,-399
760120,1755,1053,936,16916,908,-3076,-1424,-355,-219
760130,1756,1059,937,16896,880,-2700,-1472,-275,-113
760140,1757,1052,939,16832,872,-2776,-1440,-582,-110
760150,1757,1033,939,16752,532,-2708,-1440,-1203,20
760160,1762,997,941,16584,-72,-2868,-1456,-1809,-10
760170,1757,1012,909,16520,-724,-2428,-1456,-2087,-530
760180,1758,995,938,16444,-1284,-2436,-1440,-1864,-883
760190,1759,989,941,16612,-1984,-2628,-1456,-1651,-1038
760200,1757,955,941,16548,-2784,-2924,-1440,-1643,-985
760210,1759,985,943,16444,-3260,-2976,-1440,-1587,-722
760220,1759,964,947,16256,-3424,-2984,-1440,-1376,-468
760230,1759,941,949,16256,-3724,-3752,-1440,-1011,-594
760240,1757,954,948,16400,-3592,-4084,-1472,-869,-741
760250,1762,985,951,16484,-3492,-4212,-1440,-896,-609
760260,1759,969,955,16648,-3412,-3888,-1472,-1072,-128
760270,1758,941,953,16440,-2984,-3856,-1456,-998,432
760280,1759,1045,951,16468,-2604,-3928,-1440,-677,680
760290,1757,943,951,16524,-2064,-3648,-1456,-455,651
760300,1747,942,955,16596,-1692,-3652,-1472,-648,764
760310,1763,948,948,16736,-1424,-3400,-1472,-1107,925
760320,1757,959,946,16632,-1144,-2848,-1424,-1170,887
760330,1758,958,947,16528,-968,-2724,-1488,-901,779
760340,1757,971,940,16704,-1032,-2596,-1424,-804,763
760350,1761,981,941,16552,-684,-2556,-1472,-519,752
760360,1758,956,941,16784,-692,-2496,-1440,-181,687
760370,1756,957,942,16604,-484,-2588,-1456,-40,613
760380,1737,959,947,16748,-388,-2620,-1424,21,544
760390,1759,987,943,16624,-412,-2564,-1456,106,461
760400,1758,1010,939,16692,-444,-2808,-1456,106,321
760410,1757,1001,939,16648,-460,-2908,-1472,95,252
760420,1757,1003,939,16704,-600,-3024,-1456,80,288
760430,1769,1002,940,16720,-748,-3144,-1424,-165,457
760440,1758,1003,941,16632,-1084,-3076,-1424,-613,497
760450,1762,974,939,16404,-1224,-2860,-1456,-588,463
760460,1757,971,941,16496,-1488,-2908,-1456,-251,338
760470,1759,971,939,16640,-1404,-2880,-1456,-34,398
760480,1753,967,939,16632,-1272,-2712,-1456,88,639
760490,1759,957,943,16600,-968,-2700,-1440,204,843
760500,1759,951,947,16604,-764,-2812,-1456,259,823
760510,1759,947,947,16496,-660,-2984,-1424,79,617
760520,1755,965,943,16544,-508,-2932,-1456,-142,501
760530,1762,965,939,16732,-504,-2788,-1456,-132,436
760540,1757,995,935,16996,-164,-2772,-1440,-20,481
760550,1751,1014,935,16768,220,-2672,-1456,208,820
760560,1757,978,938,16644,440,-2668,-1456,229,1073
760570,1759,983,940,16468,428,-2868,-1440,-70,1014
760580,1749,985,939,16408,608,-2640,-1456,-347,742
760590,1756,1005,937,16524,588,-2320,-1472,-417,516
760600,1719,999,932,16592,676,-2144,-1456,-233,427
760610,1757,1003,937,16748,704,-2048,-1456,-4,526
760620,1757,999,937,16720,832,-1972,-1472,135,563
760630,1759,997,941,16636,1080,-2144,-1440,196,628
760640,1759,997,934,16496,1116,-2788,-1440,73,445
760650,1765,999,935,16564,944,-2436,-1456,-190,136
760660,1756,987,939,16688,956,-2584,-1456,-278,74
760670,1757,973,938,16628,832,-2792,-1440,-218,196
760680,1757,987,937,16616,840,-2644,-1408,-132,347
760690,1759,987,938,16616,812,-2660,-1440,-213,471
760700,1757,1001,939,16608,700,-2712,-1472,-616,505
760710,1757,973,941,16480,404,-2596,-1456,-1037,341
760720,1757,979,942,16620,-80,-2440,-1440,-1163,76
760730,1756,982,939,16712,-404,-2056,-1440,-857,-107
760740,1757,969,939,16800,-660,-2392,-1472,-581,24
760750,1749,973,939,16780,-576,-2548,-1440,-298,179
760760,1757,981,937,16680,-556,-2604,-1440,5,289
760770,1759,978,939,16584,-592,-2464,-1472,-24,368
760780,1763,969,939,16420,-556,-3004,-1440,-244,337
760790,1757,971,938,16304,-664,-3076,-1456,-564,182
760800,1775,972,938,16596,-744,-2756,-1440,-683,21
760810,1759,968,937,16580,-800,-2516,-1440,-444,65
760820,1756,974,938,16812,-628,-2356,-1408,-61,275
760830,1758,969,928,16804,-560,-2476,-1440,257,478
760840,1758,973,937,16648,-424,-2488,-1456,257,408
760850,1757,980,939,16584,-360,-2472,-1440,25,390
760860,1752,967,938,16580,-280,-2408,-1440,-61,157
760870,1757,980,939,16632,-364,-2444,-1408,58,-81
760880,1756,979,936,16768,-84,-2384,-1472,461,-17
760890,1757,979,939,16880,320,-2588,-1456,880,234
760900,1757,985,972,16884,400,-2800,-1440,660,418
760910,1758,975,938,16680,480,-2888,-1440,-31,392
760920,1758,985,935,16468,352,-2664,-1456,-456,254
760930,1757,979,933,16516,56,-2652,-1440,-559,-57
760940,1756,987,934,16604,-96,-2432,-1456,-432,-244
760950,1763,1000,937,16740,-68,-2456,-1440,-180,-108
760960,1755,997,935,16784,-232,-2220,-1440,117,107
760970,1758,981,937,16776,-276,-2444,-1424,219,165
760980,1756,966,937,16608,-116,-2332,-1424,226,37
760990,1758,965,938,16536,-312,-2500,-1424,254,-12
761000,1757,957,936,16604,-332,-2876,-1440,29,-106
761010,1783,970,936,16588,-384,-2588,-1440,-189,-179
761020,1757,982,933,16648,-368,-2836,-1456,-153,-168
761030,1757,994,933,16680,-44,-2688,-1456,200,-93
761040,1756,996,934,16760,236,-2872,-1424,314,79
761050,1758,995,935,16828,460,-2884,-1456,24,223
761060,1752,990,935,16684,460,-2936,-1440,-540,154
761070,1757,985,957,16552,128,-3036,-1456,-1171,-90
761080,1757,975,934,16472,-428,-2944,-1424,-1325,-215
761090,1757,981,933,16524,-676,-2996,-1440,-1006,-270
761100,1757,970,935,16700,-832,-2996,-1424,-606,-144
761110,1757,968,938,16832,-1004,-2956,-1424,-401,74
761120,1755,984,935,16780,-1192,-3032,-1424,-506,203
761130,1757,984,938,16668,-1372,-2816,-1456,-478,228
761140,1756,914,939,16648,-1576,-2824,-1472,-257,137
761150,1757,958,939,16472,-1644,-3040,-1424,-31,118
761160,1757,956,951,16640,-1692,-2960,-1424,163,90
761170,1756,971,931,16672,-1468,-2816,-1472,326,207
761180,1756,959,935,16664,-1128,-2864,-1456,601,327
761190,1757,982,921,16644,-1084,-2828,-1408,1025,345
761200,1755,985,937,16664,-552,-2792,-1440,1193,388
761210,1757,959,936,16616,-268,-2936,-1472,1193,402
761220,1757,989,967,16692,24,-2988,-1408,1051,291
761230,1789,995,935,16664,540,-2656,-1408,1053,299
761240,1757,987,935,16824,916,-2640,-1440,997,291
761250,1757,983,935,16696,1052,-2852,-1440,627,446
761260,1757,963,934,16688,1224,-2516,-1440,217,531
761270,1756,971,934,16524,956,-2648,-1472,-73,439
761280,1757,965,936,16500,744,-2776,-1440,-457,268
761290,1757,957,935,16552,424,-2384,-1408,-472,81
761300,1757,971,931,16552,220,-2368,-1424,-115,18
761310,1775,970,933,16788,244,-2396,-1424,315,147
761320,1757,972,933,16748,328,-2600,-1440,526,322
