timestamp_ms,mmg1,mmg2,mmg3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
921669,1685,951,541,16752,-1124,-776,-1296,-19,-1813
921679,1686,948,541,16892,-1148,-556,-1328,235,-1678
921689,1690,971,543,16876,-1208,-628,-1296,505,-1393
921699,1690,982,540,16904,-904,-960,-1296,400,-1143
921709,1692,905,542,16820,-860,-712,-1296,313,-972
921719,1689,965,542,16816,-848,-948,-1280,1,-878
921729,1689,966,541,16576,-976,-992,-1296,-441,-965
921739,1689,968,540,16556,-980,-1088,-1296,-911,-1393
921749,1688,959,541,16244,-836,-1088,-1312,-1303,-2092
921759,1691,945,541,16620,-864,-1124,-1264,-1639,-3200
921769,1689,959,537,16740,-1188,-1264,-1312,-2308,-3762
921779,1688,960,540,17172,-1864,-1008,-1280,-1391,-3243
921789,1690,959,538,16400,-972,-2488,-1312,-1574,-2837
921799,1689,939,543,17116,-1044,-920,-1312,-2448,-2365
921809,1688,941,541,17044,-820,-1188,-1280,-2523,-1382
921819,1691,937,537,18704,3396,-716,-1280,-5461,-968
921829,1688,923,542,16836,-460,-1140,-1312,-3191,-776
921839,1689,953,543,17516,-1000,-1508,-1312,-2999,247
921849,1691,972,537,17288,876,44,-1312,-3775,1127
921859,1687,1003,543,17164,852,-308,-1296,-3358,2064
921869,1691,983,551,17184,-1100,-484,-1280,-711,2076
921879,1689,940,535,16528,-2900,-840,-1312,-204,2349
921889,1689,919,532,16612,-2424,276,-1296,309,2401
921899,1689,934,533,17104,-736,-2136,-1280,1535,1868
921909,1689,983,542,16044,-1148,-1760,-1328,5072,650
921919,1689,1065,540,17220,404,-5544,-1312,6474,-1430
921929,1691,1036,533,17292,-1196,-96,-1312,2653,39
921939,1687,984,530,12624,-408,-5380,-1296,-2947,-3797
921949,1687,995,543,15748,-1264,-2184,-1296,-6947,-7614
921959,1689,955,541,16768,-1760,272,-1296,-7303,-8510
921969,1689,915,547,17776,-2732,-832,-1296,-5771,-7268
921979,1689,950,543,18096,-3180,-1576,-1280,-2873,-4507
921989,1689,988,547,18284,-3152,-804,-1296,88,-910
921999,1691,955,540,17900,-2748,-908,-1296,2380,2106
922009,1689,995,541,16844,-1780,-1796,-1280,2857,3103
922019,1685,972,547,15760,-1140,-2448,-1296,2492,2080
922029,1688,1002,552,15648,-1304,-2208,-1280,1247,197
922039,1691,1085,565,16336,-2112,-1736,-1296,-509,-992
922049,1689,1005,557,16564,-3076,-1956,-1264,-2053,-1159
922059,1688,995,544,17048,-2840,-1956,-1312,-1807,-724
922069,1689,985,537,17064,-2916,-1204,-1312,-380,-54
922079,1690,947,529,17248,-1984,-1164,-1312,2073,579
922089,1689,935,526,16656,-1216,-2116,-1280,3445,1071
922099,1689,953,527,16640,-608,-2844,-1280,2619,1066
922109,1689,971,531,16528,40,-2772,-1312,754,585
922119,1688,939,537,16204,-204,-1860,-1312,-657,85
922129,1707,965,536,16412,-1148,-2492,-1296,-1726,-533
922139,1690,943,533,16620,-1660,-1952,-1280,-1987,-911
922149,1689,948,532,16652,-2112,-1648,-1328,-1217,-839
922159,1689,940,533,16896,-1768,-1852,-1328,-291,-647
922169,1688,941,525,16792,-1420,-2056,-1280,566,-434
