Time,MMG1,MMG2,MMG3,MMG4,EMG,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,806,801,896,761,1119,4028,-16180,-336,-888,-50,-65
4,816,782,899,763,1072,4208,-16260,-320,-869,-39,-92
7,806,762,884,745,999,4228,-16124,-364,-872,-18,-46
10,805,767,882,741,959,4204,-16188,-456,-843,-32,-69
13,804,754,887,742,915,4160,-16184,-484,-863,-14,-38
16,802,768,883,745,880,4256,-16124,-432,-853,-41,-63
19,803,759,890,741,843,4208,-16132,-340,-865,-31,-48
22,797,765,880,742,807,4204,-16036,-348,-867,-18,-50
25,805,756,882,743,774,4172,-16096,-460,-837,10,-39
28,801,765,884,747,741,4116,-16096,-432,-852,9,-32
31,807,766,890,743,707,4296,-16032,-448,-833,23,-24
34,803,763,894,742,683,4088,-16060,-396,-856,43,-24
37,803,765,891,736,655,4172,-16048,-412,-827,43,-22
40,807,763,890,740,626,4276,-16016,-420,-869,40,-27
43,802,763,892,745,603,4248,-16048,-436,-866,27,-46
46,805,762,891,739,582,4232,-16012,-272,-869,59,-14
49,803,767,887,738,558,4268,-16060,-300,-882,37,-46
52,802,769,891,742,534,4332,-16104,-348,-876,36,-37
55,806,762,887,740,511,4288,-16036,-300,-864,8,-34
58,803,765,889,742,496,4240,-16080,-440,-893,30,-59
61,806,752,892,742,482,4244,-16032,-288,-902,4,-34
64,805,769,880,742,458,4152,-16128,-492,-927,0,-39
67,821,763,884,743,443,4188,-16084,-276,-928,2,-54
70,805,768,887,741,426,4204,-16188,-356,-949,-59,-81
73,807,766,883,739,414,4156,-16164,-316,-959,-51,-60
76,803,763,885,746,399,4088,-16160,-420,-940,-74,-32
79,816,765,886,745,384,4200,-16128,-364,-970,-60,-60
82,802,762,886,743,369,4204,-16060,-280,-971,-88,-54
85,806,766,911,741,359,4144,-16028,-284,-959,-64,-59
88,805,763,883,743,347,4156,-16088,-380,-970,-68,-80
91,805,767,887,743,336,4156,-16064,-196,-994,-66,-91
94,803,765,890,737,331,4228,-16088,-436,-994,-44,-83
97,795,765,893,751,314,4148,-16140,-312,-1003,-77,-90
100,802,757,888,742,311,4156,-16144,-316,-995,-55,-74
103,816,773,886,743,300,4188,-16160,-248,-1002,-58,-97
106,809,763,887,742,288,4240,-16072,-396,-987,-27,-76
109,803,768,892,745,282,4204,-16140,-404,-978,-49,-96
112,805,763,892,745,272,4088,-16096,-388,-973,-40,-84
115,806,765,890,746,268,4288,-16064,-260,-974,-42,-84
118,801,764,887,742,257,4100,-16120,-352,-956,-44,-75
121,803,766,890,741,251,4160,-16148,-412,-935,-44,-92
124,804,766,886,743,243,4172,-16104,-364,-932,-41,-68
127,802,777,887,745,241,4204,-16196,-372,-901,-31,-92
130,806,765,887,746,231,4204,-16200,-448,-902,-12,-94
133,805,767,881,745,230,4256,-16184,-300,-871,-26,-69
136,805,769,885,743,225,4068,-16156,-512,-888,-13,-79
139,806,768,885,745,222,4072,-16132,-460,-878,-39,-88
142,807,765,891,747,210,4068,-16180,-468,-873,-35,-90
145,806,766,893,747,210,4200,-16224,-396,-882,-7,-75
148,803,764,903,742,207,4160,-16140,-272,-889,-3,-88
151,807,765,886,745,199,4148,-16108,-384,-898,-10,-106
154,802,769,890,733,195,4196,-16208,-380,-868,21,-107
157,804,772,885,742,192,4256,-16196,-296,-891,36,-79
160,803,768,882,749,193,4268,-16228,-420,-839,60,-109
163,807,765,892,749,188,4208,-16188,-404,-869,82,-83
166,807,767,886,747,187,4184,-16156,-396,-855,86,-116
169,802,769,890,746,180,4148,-16132,-396,-869,107,-108
172,802,767,887,743,177,4204,-16184,-256,-883,82,-96
175,805,770,889,745,175,4160,-16260,-296,-883,85,-126
178,801,768,885,741,173,4220,-16196,-224,-898,93,-140
181,807,771,889,743,169,4312,-16220,-284,-909,100,-141
184,807,769,889,744,167,4084,-16264,-288,-897,127,-110
187,803,768,885,743,165,4104,-16216,-264,-902,95,-118
190,811,769,891,745,165,4276,-16168,-324,-914,59,-117
193,810,778,882,746,159,4220,-16256,-360,-917,26,-121
196,806,770,883,751,162,4048,-16188,-408,-881,90,-135
199,805,766,890,749,158,4212,-16244,-288,-882,127,-111
202,805,766,890,742,154,4212,-16220,-300,-896,143,-125
205,806,771,882,748,149,4268,-16168,-384,-905,105,-101
208,807,765,886,750,149,4256,-16292,-444,-883,153,-129
211,805,767,886,745,146,4236,-16216,-404,-907,190,-148
214,805,764,889,749,146,4232,-16332,-488,-880,203,-148
217,809,768,885,747,145,4292,-16216,-272,-875,189,-150
220,804,760,891,747,150,4280,-16228,-320,-829,258,-141
223,804,767,886,747,145,4296,-16304,-384,-831,275,-164
226,803,763,907,742,144,4172,-16292,-424,-802,315,-158
229,801,764,889,747,143,4264,-16276,-412,-764,364,-166
232,805,767,901,742,144,4040,-16140,-524,-814,408,-216
235,797,770,882,742,143,4032,-16288,-376,-630,449,-171
238,802,768,893,761,142,4048,-16248,-464,-562,380,-126
241,798,772,889,740,135,4076,-16380,-504,-577,277,-135
244,800,766,887,743,137,4120,-16280,-672,-631,196,-176
247,802,767,880,743,140,4412,-16528,-452,-606,340,-203
250,802,769,887,742,134,4376,-16512,-724,-625,149,-195
253,802,767,886,745,138,4600,-16296,-320,-701,333,-249
256,800,768,891,746,137,4356,-16420,-636,-633,407,-224
259,808,768,883,746,129,4468,-16328,-168,-502,703,-173
262,804,768,886,741,128,4368,-16104,-204,-569,771,-232
265,806,769,892,747,135,4324,-16156,-340,-604,477,-242
268,794,768,887,745,138,3804,-16028,-712,-691,-110,-233
271,801,769,890,747,130,4104,-15932,-384,-650,3,-223
274,803,768,886,737,128,4196,-15844,-252,-554,176,-108
277,800,768,881,741,128,4180,-15288,56,-616,397,-130
280,800,768,888,742,129,4264,-15684,-8,-582,415,-108
283,801,770,896,743,128,4196,-16356,-352,-568,309,-102
286,799,761,886,747,128,4648,-16016,-468,-509,518,-64
289,804,757,890,746,125,4520,-15880,-416,-427,721,-95
292,800,757,887,749,127,4184,-15732,-292,-454,389,-74
295,797,753,883,746,128,4012,-16024,-428,-537,309,-175
298,798,759,881,750,127,4300,-16092,-260,-475,242,-103
301,801,753,880,745,128,3668,-16152,-68,-394,148,-81
304,799,751,885,748,128,3864,-16140,-636,-337,-1171,145
307,799,752,880,750,128,4100,-16224,-184,-406,-722,184
310,804,752,880,751,126,4988,-15536,448,-759,531,-97
313,803,763,883,751,125,4928,-15752,-312,-763,737,-154
316,806,742,887,749,125,4380,-15568,204,-796,774,-152
319,801,752,880,752,124,4008,-15824,-20,-711,383,-42
322,799,754,883,751,121,3876,-15764,-268,-816,-464,18
325,803,754,886,747,118,4280,-15824,-96,-1000,-503,-10
328,792,750,881,747,122,4676,-15812,-232,-804,85,28
331,801,755,885,749,116,4756,-15700,-52,-788,586,-29
334,803,757,880,747,119,4332,-15540,-104,-774,568,10
337,807,757,881,750,118,4140,-15860,-92,-868,208,-44
340,811,754,885,749,123,3864,-15536,-256,-1123,-688,-64
343,813,757,880,752,114,4148,-15756,-164,-1144,-631,-57
346,809,762,883,743,118,4648,-16004,-164,-989,-265,43
349,811,762,883,745,127,4352,-15784,-216,-1040,-205,49
352,811,763,885,743,119,4336,-15916,-164,-912,67,70
355,815,766,883,752,115,4224,-16028,-212,-1027,97,1
358,816,762,885,742,118,4076,-15900,-244,-1198,-98,-119
361,815,758,894,743,115,4040,-16156,-408,-1260,-272,-160
364,816,765,887,741,118,4180,-16304,-356,-1213,-149,-107
367,816,766,887,742,117,4324,-16012,-356,-1273,-38,-153
370,813,768,886,745,118,4348,-16096,-188,-1322,41,-111
373,816,771,887,741,115,4244,-16444,-216,-1192,350,-85
376,814,768,884,746,114,4172,-16096,-484,-1404,34,-206
379,806,775,885,740,117,3952,-16156,-416,-1404,-220,-204
382,806,770,889,739,118,4132,-16252,-44,-1392,36,-254
385,795,768,895,745,113,4192,-16200,-68,-1347,322,-219
388,805,767,883,749,117,4136,-16320,-364,-1232,223,-148
391,811,768,881,752,114,4000,-16520,-340,-1318,-3,-188
394,813,766,882,745,122,4036,-15948,-184,-1408,7,-175
397,807,774,883,741,123,4352,-16364,-172,-1288,59,-110
400,805,769,883,733,119,4212,-16200,-104,-1392,21,-131
403,804,771,883,749,118,4196,-15988,8,-1359,-60,-95
406,807,768,900,750,118,4008,-16356,36,-1363,-133,-95
409,809,766,885,752,115,4044,-16224,-212,-1442,-268,-131
412,807,765,897,752,122,4132,-16164,-40,-1375,-309,-121
415,811,769,887,750,117,4176,-16232,-28,-1393,-339,-115
418,811,768,884,747,113,4188,-16268,-56,-1313,-330,-72
421,810,766,885,746,118,4144,-16212,-140,-1306,-279,-85
424,807,784,892,741,117,4096,-16124,-148,-1321,-317,-81
427,797,768,888,741,115,4096,-16212,-144,-1306,-347,-91
430,811,767,881,747,119,4084,-16248,-224,-1276,-312,-75
433,813,770,886,749,117,4092,-16312,-212,-1277,-251,-105
436,809,768,887,743,114,4188,-16256,-196,-1232,-215,-70
439,811,770,883,741,116,4176,-16208,-220,-1195,-101,-56
442,800,765,885,749,117,4328,-16140,-152,-1201,-53,-55
445,807,764,910,749,121,4100,-16008,-300,-1190,-41,-61
448,807,763,890,747,120,4028,-16000,-304,-1186,-14,-46
451,815,759,883,749,113,4192,-16156,-364,-1150,-17,-56
454,809,762,881,748,116,4108,-16176,-260,-1109,-68,-38
457,807,756,882,765,114,4084,-16500,-528,-1055,-75,-48
460,807,784,881,746,124,4000,-16048,-220,-1123,-58,-65
463,807,769,884,747,119,4148,-16056,-344,-1094,-120,-55
466,805,769,882,749,114,3972,-16088,-460,-1119,-227,-59
469,814,767,887,747,117,4100,-16024,-448,-1182,-230,-89
472,811,766,886,743,113,4140,-16236,-456,-1174,-236,-124
475,811,768,887,742,115,4164,-15828,-384,-1243,-213,-99
478,814,770,882,749,118,4132,-16168,-412,-1222,-219,-79
481,813,773,881,745,115,4084,-15872,-428,-1252,-172,-91
484,809,769,882,752,117,4152,-16060,-608,-1208,-103,-93
487,809,770,885,743,116,4120,-16204,-380,-1216,-18,-99
490,810,772,881,743,117,4112,-16020,-532,-1237,-29,-92
493,813,779,887,744,118,4060,-16056,-456,-1244,-67,-85
496,813,770,892,739,122,4292,-15824,-488,-1423,7,-128
499,811,776,893,743,114,4248,-15984,-380,-1381,428,-193
502,813,778,893,741,113,4296,-16084,-452,-1506,556,-283
505,816,781,892,739,114,4056,-16028,-188,-1461,404,-248
508,815,779,892,736,121,3968,-15976,-600,-1436,94,-195
511,816,783,894,743,116,4012,-15940,-264,-1478,48,-229
514,815,783,887,746,113,4060,-16004,-272,-1400,8,-179
517,816,782,887,750,118,4340,-16112,-412,-1404,148,-165
