Time,MMG1,MMG2,MMG3,MMG4,EMG,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,816,754,885,757,1839,4544,-16104,116,-836,80,-53
4,815,753,880,756,1749,4572,-16052,80,-872,74,-35
7,807,754,880,758,1673,4608,-16036,120,-846,79,-34
10,794,738,872,734,1584,4532,-16072,44,-877,68,-50
13,794,738,880,737,1502,4544,-15968,44,-882,68,-44
16,792,734,874,730,1438,4508,-16164,112,-864,63,-35
19,793,741,873,737,1370,4580,-16072,-8,-867,28,-67
22,790,733,870,733,1309,4568,-16120,108,-858,27,-29
25,791,736,871,733,1245,4484,-16128,-72,-843,7,-40
28,794,731,864,735,1181,4604,-16108,80,-846,2,-52
31,793,729,869,734,1123,4740,-16084,0,-828,52,-47
34,785,722,866,735,1070,4556,-16024,88,-795,433,-119
37,784,723,868,732,1009,4464,-15996,344,-771,400,-94
40,784,721,863,739,960,4404,-16012,24,-778,147,-61
43,784,720,869,737,910,4416,-16148,396,-725,9,-27
46,784,704,871,731,864,4528,-15872,164,-826,-36,-43
49,791,720,871,731,816,4816,-15988,56,-822,95,-82
52,789,721,871,733,770,4728,-15952,-68,-731,195,6
55,787,720,870,729,739,4828,-15900,216,-688,335,55
58,790,727,865,731,693,4776,-15984,168,-742,193,40
61,790,723,868,730,656,4572,-15964,48,-745,-118,80
64,791,727,870,732,622,4404,-15980,272,-819,-59,48
67,795,736,874,727,592,4800,-16064,-44,-901,69,33
70,797,735,874,731,560,4952,-16004,92,-781,57,136
73,795,742,870,732,524,4476,-16120,68,-770,-372,240
76,794,737,862,733,494,4532,-16236,-64,-864,-643,205
79,793,740,867,729,461,4528,-16184,20,-936,-504,123
82,791,736,869,736,437,4704,-16244,4,-943,-267,134
85,794,737,865,735,406,4612,-16312,-76,-929,-236,111
88,785,739,866,735,384,4476,-16392,0,-964,-384,122
91,786,740,870,733,357,4552,-16388,44,-925,-231,124
94,789,741,862,735,332,4632,-16352,100,-884,-196,154
97,784,739,892,740,313,4524,-16376,92,-893,-138,134
100,785,733,866,738,297,4668,-16352,-80,-865,-63,127
103,787,732,869,739,273,4592,-16432,4,-860,-88,158
106,787,727,867,739,251,4672,-16328,72,-847,13,165
109,784,722,871,740,230,4604,-16280,144,-830,34,177
112,786,717,867,741,215,4596,-16284,236,-862,22,163
115,784,721,873,743,199,4644,-16308,88,-850,-86,164
118,784,725,869,742,181,4540,-16264,276,-850,-104,159
121,784,720,869,744,163,4508,-16260,232,-835,-105,151
124,784,720,871,749,145,4704,-16220,196,-778,-140,227
127,785,720,875,746,136,4524,-16064,96,-789,-200,202
130,784,720,867,743,122,4540,-16184,300,-774,-214,206
133,784,724,867,762,110,4664,-16036,260,-712,-143,219
136,784,720,867,741,91,4464,-16128,196,-666,-146,234
139,784,720,870,746,80,4416,-16112,100,-636,-116,258
142,786,719,866,745,69,4496,-16052,268,-611,-55,235
145,786,720,872,743,62,4444,-15952,32,-589,-30,260
148,785,720,867,745,48,4408,-15916,24,-577,84,229
151,787,727,869,749,35,4304,-15928,20,-556,83,244
154,786,720,869,749,32,4240,-15920,-4,-558,44,229
157,789,720,865,743,21,4324,-15940,0,-580,26,238
160,794,724,879,742,7,4356,-16012,44,-589,127,207
163,786,725,871,741,0,4236,-16100,-192,-598,141,214
166,785,725,870,741,0,4200,-16136,24,-625,191,188
169,790,726,874,744,0,4196,-16068,-96,-645,131,213
172,794,729,872,748,0,4020,-16028,-228,-655,108,191
175,788,730,875,738,0,4096,-16112,-48,-688,32,191
178,794,732,869,739,0,3988,-16164,-124,-718,4,194
181,789,733,870,737,0,4008,-16172,-36,-749,-20,195
184,789,733,874,732,0,4120,-16300,-88,-810,-58,201
187,790,739,875,740,0,4044,-16188,-12,-796,-85,207
190,789,739,867,738,0,3996,-16276,44,-798,-279,222
193,786,735,871,736,0,3888,-16324,132,-817,-458,239
196,787,740,875,739,0,4020,-16264,124,-827,-443,260
199,786,738,871,739,0,4112,-16116,244,-865,-142,198
202,784,737,875,741,0,4028,-16128,4,-851,-148,193
205,790,742,875,739,0,4036,-16232,36,-836,-136,218
208,785,743,869,742,0,4072,-16248,320,-847,-29,199
211,790,741,874,743,0,4096,-16160,172,-786,98,191
214,787,736,867,741,0,4060,-16160,36,-780,173,210
217,791,737,871,743,0,4000,-16220,168,-783,164,184
220,790,738,865,741,0,3860,-16224,76,-786,138,195
223,787,739,879,737,0,3984,-16052,292,-773,174,166
226,784,743,870,738,0,3828,-16096,84,-779,33,170
229,789,735,867,741,0,3888,-16168,92,-794,38,145
232,794,737,875,740,0,3884,-16236,52,-819,-3,125
235,787,737,875,737,0,3984,-16120,48,-827,-26,115
238,783,738,871,737,0,3896,-16136,-52,-837,-17,99
241,790,743,871,743,0,4004,-16052,88,-835,11,93
244,792,743,873,747,0,3908,-16184,-4,-861,38,68
247,791,739,871,737,0,3972,-16084,24,-844,43,75
250,794,741,873,741,0,3892,-16224,0,-887,6,45
253,787,733,865,741,0,3812,-16164,-84,-872,7,64
256,792,735,868,744,0,3908,-16204,12,-874,80,64
259,790,732,871,742,0,3828,-16176,92,-870,27,63
262,790,734,869,745,0,3928,-16204,80,-897,13,53
265,805,723,872,742,0,3944,-16228,200,-876,9,15
268,787,731,875,741,0,3940,-16228,-32,-883,32,23
271,794,733,876,745,0,3932,-16260,-64,-852,-20,12
274,791,729,869,742,0,3840,-16240,64,-875,-74,-4
277,797,733,859,741,0,3900,-16212,68,-876,-48,-22
280,792,735,873,741,0,4004,-16136,-4,-881,18,-17
283,787,733,886,743,0,3940,-16108,88,-862,40,-32
286,794,734,870,743,0,3900,-16160,84,-872,43,-16
289,788,726,867,742,0,4036,-16216,40,-885,87,-45
292,790,733,875,738,0,4068,-16200,32,-851,84,-43
295,797,719,866,735,0,4044,-16144,44,-872,37,-38
298,791,735,865,741,0,3924,-16172,144,-882,8,-71
301,787,731,871,746,0,4040,-16168,-28,-895,-22,-58
304,786,734,867,736,0,4072,-16084,16,-879,19,-92
307,794,734,871,739,0,4088,-16232,144,-932,26,-83
310,787,735,866,736,0,3964,-16152,-32,-905,26,-88
313,789,736,874,736,0,4040,-16112,-88,-953,42,-95
316,795,736,871,735,0,4092,-16076,-44,-932,-25,-89
319,789,738,869,739,0,4088,-16012,24,-970,-51,-133
322,802,738,870,751,0,4036,-16068,44,-983,-46,-124
325,796,745,867,739,0,4036,-16156,104,-1009,-80,-118
328,798,746,870,736,0,4040,-16124,-32,-979,-34,-155
331,795,747,874,735,0,4116,-16120,252,-1025,-105,-122
334,793,745,867,736,0,4088,-15992,96,-1008,-120,-168
337,797,747,876,739,0,4128,-16136,52,-1002,-87,-151
340,791,743,873,735,0,4052,-16120,168,-976,-91,-167
343,803,745,876,737,0,4212,-16120,172,-984,-142,-166
346,797,750,875,734,0,4224,-16188,-12,-995,-143,-161
349,794,747,871,735,0,4216,-16088,28,-973,-166,-176
352,801,749,874,739,0,4120,-16080,224,-994,-142,-176
355,800,742,874,733,0,4204,-16200,224,-967,-148,-159
358,796,743,875,734,0,4180,-16140,156,-964,-130,-178
361,795,742,870,737,0,4256,-16220,140,-967,-139,-183
364,791,737,875,730,0,4172,-16188,124,-981,-136,-173
367,798,738,877,737,0,4304,-16200,76,-972,-136,-173
370,798,745,870,733,0,4348,-16260,80,-982,-140,-190
373,790,737,869,736,0,4280,-16232,216,-960,-120,-179
376,791,736,875,735,0,4272,-16100,180,-948,-133,-176
379,793,738,875,734,0,4376,-15944,240,-975,-148,-198
382,795,737,873,736,0,4276,-16080,100,-955,-107,-186
385,789,734,861,738,0,4388,-16172,164,-963,-83,-189
388,793,732,870,734,0,4368,-16208,56,-938,-76,-162
391,793,735,875,735,0,4516,-16216,72,-959,-16,-184
394,797,734,871,736,0,4468,-16228,76,-973,72,-199
397,793,729,871,741,0,4500,-16156,184,-1003,226,-204
400,793,735,876,734,0,4384,-16180,80,-964,50,-217
403,793,735,877,745,0,4288,-16208,268,-998,-123,-195
406,790,720,867,734,0,4428,-16212,240,-996,-146,-183
409,796,736,868,736,0,4448,-16124,300,-1028,-36,-195
412,791,735,869,736,0,4400,-16172,220,-1069,-182,-208
415,789,738,873,737,0,4524,-16108,136,-1102,-334,-223
418,790,737,868,735,0,4456,-16100,72,-1072,-381,-198
421,790,742,867,740,0,4560,-16192,308,-1045,-165,-153
424,789,736,870,739,0,4584,-16088,156,-1010,-20,-118
427,796,735,870,740,0,4644,-16228,88,-1006,163,-93
430,797,737,873,737,0,4604,-16300,132,-1007,180,-68
433,799,735,871,738,0,4544,-16404,276,-1010,170,-53
436,795,740,875,751,0,4352,-16204,104,-1044,-9,-72
439,797,720,865,753,0,4536,-16208,80,-1047,-30,-84
442,795,735,869,737,0,4356,-16132,88,-1086,-114,-111
445,796,735,868,740,0,4364,-16304,152,-1094,-157,-103
448,793,738,875,739,0,4360,-16288,36,-1118,-217,-137
451,798,741,871,739,0,4332,-16228,312,-1131,-296,-147
454,795,741,870,741,0,4360,-16096,120,-1118,-308,-137
457,794,741,866,737,0,4312,-16136,200,-1075,-232,-116
460,791,737,867,735,0,4324,-16156,-12,-1045,-130,-136
463,790,736,864,742,0,4228,-16164,-16,-1012,-134,-115
466,788,734,869,738,0,4196,-16196,64,-1004,-176,-100
469,786,732,880,735,0,4228,-16048,-84,-951,-155,-113
472,789,730,863,739,0,4332,-16060,148,-967,-119,-82
475,785,731,870,737,0,4264,-16172,144,-941,-88,-80
478,794,734,865,736,0,4276,-15988,-12,-965,-59,-108
481,788,735,870,745,0,4188,-16048,120,-957,-103,-90
484,791,737,868,738,0,4384,-16000,64,-940,-106,-75
487,786,731,869,742,0,4376,-15996,132,-966,-100,-55
490,788,736,867,738,0,4340,-16020,208,-992,-83,-52
493,795,739,867,737,0,4332,-16100,228,-989,-70,-62
496,793,737,864,735,0,4224,-15968,128,-1009,-89,-41
499,791,735,870,740,0,4212,-16044,160,-1002,-114,-37
502,790,738,874,738,0,4216,-16040,84,-1039,-132,-33
505,795,741,869,735,0,4372,-16140,164,-1027,-76,-41
508,787,747,874,738,0,4356,-15996,76,-1005,4,-47
511,785,746,863,734,0,4324,-16136,176,-1003,-2,-66
514,791,748,867,739,0,4216,-16188,172,-1018,-48,-45
517,789,747,870,739,0,4192,-16208,112,-1019,-137,-38
520,793,743,879,736,0,4224,-16172,84,-1013,-115,-30
523,791,750,873,754,0,4296,-16104,-8,-1008,-99,-25
526,796,743,874,732,0,4348,-16184,188,-987,-55,-26
529,791,764,869,736,0,4296,-16292,-44,-1006,-27,-42
532,791,748,866,735,0,4348,-16216,128,-990,-37,-63
535,787,747,873,736,0,4328,-16276,28,-981,0,-44
538,789,746,870,736,0,4152,-16276,100,-973,19,-95
541,790,741,869,738,0,4308,-16256,48,-996,19,-56
544,793,742,871,737,0,4220,-16232,176,-1012,42,-97
547,785,743,874,742,0,4208,-16220,220,-1010,24,-89
550,789,747,865,746,0,4216,-16140,128,-993,20,-91
553,790,743,865,738,0,4192,-16104,164,-1008,53,-92
556,785,743,865,736,0,4228,-16240,96,-971,112,-85
559,784,746,867,726,0,4240,-16168,-24,-982,72,-102
562,790,726,869,742,0,4176,-16024,60,-936,19,-73
565,789,739,863,738,0,4144,-16116,104,-963,-10,-92
568,799,741,875,739,0,4220,-16156,40,-953,10,-61
571,789,737,879,741,0,4140,-15984,28,-976,-21,-61
574,787,742,874,736,0,4192,-16088,0,-963,-51,-66
577,791,737,871,741,0,4176,-16096,56,-977,-95,-51
580,791,737,873,738,0,4176,-16008,-136,-970,-38,-46
583,794,739,873,740,0,4192,-16176,-64,-963,-19,-50
586,794,739,870,737,0,4208,-16120,4,-969,52,-28
589,789,741,875,738,0,4284,-16164,4,-986,50,-30
592,796,737,874,739,0,4204,-16240,124,-986,37,-39
595,801,743,867,735,0,4328,-16108,-20,-1013,84,-45
598,802,737,874,737,0,4180,-16312,-48,-1021,112,-74
601,788,740,871,737,0,4132,-16184,-12,-1013,-8,-66
604,788,737,886,737,0,4240,-16148,-44,-1002,35,-46
607,790,747,874,735,0,4152,-16256,24,-1081,-120,-86
610,788,737,873,738,0,4212,-16268,12,-1044,-273,-81
613,789,738,869,737,0,4228,-16264,40,-1085,-270,-111
616,787,735,873,734,0,4440,-16320,80,-1071,-240,-124
619,789,735,872,734,0,4356,-16224,56,-987,-70,-67
622,790,742,869,736,0,4384,-16252,156,-1010,11,-84
625,791,738,870,735,0,4276,-16228,12,-1012,115,-106
628,793,736,871,739,0,4272,-16392,56,-961,109,-60
631,792,738,869,749,0,4116,-16284,52,-893,95,-28
634,799,736,871,737,0,4192,-16300,96,-905,-10,-31
637,792,736,876,735,0,4156,-16288,88,-945,-103,-20
640,788,738,874,739,0,4120,-16216,124,-1033,-232,-83
643,791,737,867,734,0,4224,-16152,32,-1050,-377,-108
646,795,736,874,734,0,4344,-16240,108,-978,-379,-88
649,792,735,870,737,0,4408,-16208,108,-917,-242,-16
652,793,736,873,741,0,4440,-16164,48,-881,-123,-1
655,795,734,877,737,0,4428,-16096,68,-848,39,46
658,795,739,881,733,0,4344,-16088,60,-817,50,68
661,798,742,875,736,0,4336,-16144,-100,-840,37,74
664,795,736,877,735,0,4300,-16128,-56,-828,-42,60
667,795,737,875,737,0,4248,-16096,-76,-837,-66,96
670,791,737,870,738,0,4272,-16156,12,-855,-138,55
673,793,737,869,738,0,4272,-16088,-64,-894,-190,31
676,794,752,879,741,0,4368,-16068,-216,-900,-119,39
679,794,733,870,743,0,4300,-16112,-144,-885,-63,33
682,789,731,870,742,0,4364,-16212,-152,-897,-28,37
685,787,732,871,740,0,4400,-16164,-116,-854,25,24
688,793,734,871,736,0,4272,-16192,40,-866,26,17
691,786,730,870,745,0,4248,-16268,72,-854,20,8
694,793,733,869,740,0,4192,-16092,-28,-868,-9,-13
697,785,727,866,742,0,4264,-16072,220,-851,-32,-68
700,789,734,871,743,0,4268,-16120,60,-873,-66,-99
703,789,731,866,741,0,4116,-16020,-40,-884,-114,-92
706,786,731,871,739,0,4224,-16016,276,-896,-73,-140
709,795,736,868,741,0,4192,-16140,268,-852,1,-115
712,790,733,874,732,0,4100,-16040,188,-877,19,-142
715,794,734,866,738,0,4092,-16076,104,-851,-78,-158
718,795,731,877,734,0,4120,-16144,116,-822,-49,-106
721,794,731,867,732,0,4172,-16124,24,-820,-63,-92
724,790,738,871,735,0,4204,-16032,-152,-792,90,-71
727,795,739,871,737,0,4204,-16168,-132,-796,28,-62
730,795,748,879,736,0,4204,-16156,24,-766,-72,-14
733,795,737,871,735,0,4128,-16192,-12,-794,-226,9
736,791,737,870,737,0,4216,-16164,-12,-779,-208,54
739,794,737,866,737,0,4356,-16132,-120,-785,-109,54
742,795,738,873,736,0,4416,-16000,116,-831,-79,45
